Row,A2M,ABC,ABP,AGL,AIA,ALD,ALL,ALQ,ALU,ALX,AMC,AMP,ANN,ANZ,APA,APE,APT,APX,ARB,ASB,AST,ASX,AUB,AWC,AZJ,BAP,BEN,BGA,BHP,BIN,BKL,BKW,BLD,BOQ,BPT,BRG,BSL,BVS,BWP,BXB,CAR,CBA,CCL,CCP,CGC,CGF,CHC,CIM,CIP,CKF,CLW,CMW,CNU,COH,COL,CPU,CQR,CSL,CSR,CTD,CUV,CWN,CWY,DHG,DMP,DOW,DXS,ELD,EML,EVN,FBU,FLT,FMG,FPH,GEM,GMG,GNC,GOR,GOZ,GPT,GUD,GWA,HLS,HVN,IAG,IEL,IFL,IGO,ILU,INA,ING,IPH,IPL,IRE,IVC,JBH,JHG,JHX,KGN,LLC,LNK,LYC,MFG,MGR,MIN,MND,MP1,MPL,MQG,MSB,MTS,NAB,NAN,NCM,NEA,NEC,NHF,NSR,NST,NUF,NWH,NWL,NWS,NXT,OBL,ORA,ORG,ORI,OSH,OZL,PBH,PDL,PME,PMV,PNV,PPT,PRN,PRU,PTM,QAN,QBE,QUB,REA,REH,RHC,RIO,RMD,RMS,RRL,RSG,RWC,S32,SBM,SCG,SCP,SDF,SEK,SFR,SGM,SGP,SGR,SHL,SIQ,SKC,SKI,SLR,SOL,SPK,SSM,STO,SUL,SUN,SVW,SYD,TAH,TCL,TGR,TLS,TNE,TWE,URW,VCX,VEA,VOC,VUK,WBC,WEB,WES,WGX,WHC,WOR,WOW,WPL,WPR,WTC,XRO,Z1P
2010-10-04,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-05,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-06,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-07,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-08,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-11,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-12,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-13,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-14,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
2010-10-15,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,NaN,0,0,0,0,NaN,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,0,NaN,0,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0
